Source,Target,Type
27633,17650,Directed
27641,12190,Directed
27648,16295,Directed
27677,35152,Directed
27828,26507,Directed
27831,34963,Directed
34963,32319,Directed
27904,21350,Directed
27904,23060,Directed
27904,30955,Directed
27904,35265,Directed
30955,31298,Directed
30955,31156,Directed
27972,34356,Directed
27976,30249,Directed
28017,23149,Directed
28017,30139,Directed
28029,20442,Directed
28029,25371,Directed
28029,31835,Directed
28031,29548,Directed
29548,27740,Directed
29548,35109,Directed
29548,30370,Directed
28038,24065,Directed
28038,31156,Directed
28064,20335,Directed
28113,27253,Directed
28113,28918,Directed
28136,20354,Directed
28138,35436,Directed
28162,34432,Directed
28172,31835,Directed
28172,30370,Directed
28198,20974,Directed
28214,31719,Directed
28286,29093,Directed
28287,20942,Directed
28287,23589,Directed
28287,25501,Directed
28287,26220,Directed
28287,31018,Directed
28287,34917,Directed
31018,23818,Directed
31018,27122,Directed
28364,29760,Directed
28423,31018,Directed
28434,35942,Directed
28468,30249,Directed
28522,27201,Directed
28584,26331,Directed
28597,21402,Directed
28605,31543,Directed
28609,27471,Directed
28674,23720,Directed
28674,32560,Directed
28837,21709,Directed
28837,25429,Directed
28848,28918,Directed
28871,33408,Directed
28884,20989,Directed
28884,31485,Directed
28919,28699,Directed
28931,21119,Directed
28931,31719,Directed
29076,32639,Directed
29086,20813,Directed
29086,22448,Directed
29086,25742,Directed
29086,27194,Directed
29086,35825,Directed
29161,21345,Directed
29182,27005,Directed
29182,36042,Directed
29190,31917,Directed
29212,27122,Directed
29212,32495,Directed
29214,20500,Directed
29219,34232,Directed
29260,22650,Directed
29260,26709,Directed
29260,31429,Directed
29261,28981,Directed
29268,33022,Directed
33022,29268,Directed
29270,27887,Directed
29284,28307,Directed
29387,22885,Directed
29414,22022,Directed
29414,25276,Directed
29479,22026,Directed
29479,24661,Directed
